email,password,phone number,display name,role,,,
Rick@test.com,test123,+19157475094,Rick Sanchez,Server,,,
Marshall@test.com,test123,+19157475095,Marshall Eriksen,Host,,,
Ted@test.com,test123,+19157475096,Ted Nicks,Manager,,,
Lily@test.com,test123,+19157475097,Lily Aldrin,Server,,,
Esther@test.com,test123,+19157475098,Esther Rodriguez,Supervisor,,,
Barney@test.com,test123,+19157475099,Barney Stinson,Server,,,
Barry@test.com,test123,+19157475100,Barry Simpson,Host,,,
Ivan@test.com,test123,+19157475101,Ivan Berry,Manager,,,
Tom@test.com,test123,+19157475102,Tom Waits,Server,,,
Kurt@test.com,test123,+19157475103,Kurt Cobain,Server,,,
William@test.com,test123,+19157475104,William Tell,Server,,,
Sean@test.com,test123,+19157475105,Sean Combs,Host,,,
Robin@test.com,test123,+19157475106,Robin Scherbatsky,Manager,,,
Stella@test.com,test123,+19157475107,Stella Zinman,Server,,,
Victoria@test.com,test123,+19157475108,Victoria Knowles,Supervisor,,,
George@test.com,test123,+19157475109,George Wallace,Server,,,
Jose2@test.com,test123,+19157475110,Jose Saldana,Host,,,
Niel@test.com,test123,+19157475111,Niel Mejia,Manager,,,
Mark2@test.com,test123,+19157475112,Mark Zuckerberg,Server,,,
Joel@test.com,test123,+19157475113,Joel Mchale,Server,,,
Danny@test.com,test123,+19157475114,Danny Pudi,Server,,,
Allison2@test.com,test123,+19157475115,Allison Brie,Host,,,
Britta@test.com,test123,+19157475116,Britta Perry,Manager,,,
Willie@test.com,test123,+19157475117,Willie Dixon,Server,,,
Bernie@test.com,test123,+19157475118,Bernie Taupin,Supervisor,,,
Barrett@test.com,test123,+19157475119,Barrett Strong,Server,,,
Abed@test.com,test123,+19157475120,Abed Nadir,Host,,,
Chevy@test.com,test123,+19157475121,Chevy Chase,Manager,,,
Troy@test.com,test123,+19157475122,Troy Barnes,Server,,,
Glover@test.com,test123,+19157475123,Donald Glover,Server,,,
Pierce@test.com,test123,+19157475124,Pierce Hawthorne,Server,,,
Craig@test.com,test123,+19157475125,CraigPelton,Host,,,
Yvette@test.com,test123,+19157475126,YvetteBrown,Manager,,,
Sly@test.com,test123,+19157475127,Sly Stone,Server,,,
David2@test.com,test123,+19157475128,David Bowie,Supervisor,,,
Dolly@test.com,test123,+19157475129,Dolly Parton,Server,,,
Albert@test.com,test123,+19157475130,Albert Greenfeld,Host,,,
Woody2@test.com,test123,+19157475131,Woody Gutherie,Manager,,,
William@test.com,test123,+19157475132,William Delos,Server,,,
Theodore@test.com,test123,+19157475133,Theodore Flood,Server,,,
Jack2@test.com,test123,+19157475134,Jack Black,Server,,,
Ken@test.com,test123,+19157475135,Ken Jeong,Host,,,
Shirley@test.com,test123,+19157475136,Shirley Jones,Manager,,,
Henry@test.com,test123,+19157475137,Henry Ford,Server,,,
Elsie@test.com,test123,+19157475138,Elsie Hughes,Supervisor,,,
Dolores@test.com,test123,+19157475139,Dolores Abernathy,Server,,,
Ellie@test.com,test123,+19157475140,Ellie GreenWich,Host,,,
